text,sector,severity,municipal_corp,date,month,year
Stagnant water causing mosquito breeding in GMC jurisdiction,water,1,GMC,2024-09-13,9,2024
Stagnant water causing mosquito breeding in WMC jurisdiction,water,1,WMC,2023-04-28,4,2023
Overflowing water tank at Ward 3 in RMC jurisdiction,water,2,RMC,2024-01-16,1,2024
Littering in public park,sanitation,0,JMC,2023-08-07,8,2023
Bio-medical waste not disposed properly in UMC jurisdiction,sanitation,2,UMC,2024-09-08,9,2024
Overflowing water tank at Ward 2,water,2,CMC,2024-05-25,5,2024
Tap leaking at South Zone in LMC jurisdiction,water,0,LMC,2023-08-31,8,2023
Low water pressure in Industrial Area in CMC jurisdiction,water,1,CMC,2024-02-17,2,2024
Building permit delay,building,0,SMC,2023-05-23,5,2023
Electrical meter issue,electricity,0,BMC,2023-02-14,2,2023
Drain cleaning overdue in SMC jurisdiction,sanitation,1,SMC,2023-10-15,10,2023
Park maintenance overdue in CMC jurisdiction,parks,1,CMC,2024-05-21,5,2024
Garbage truck leaking,sanitation,1,JMC,2024-11-02,11,2024
Complete blackout in West Zone in CMC jurisdiction,electricity,2,CMC,2024-12-03,12,2024
Exercise equipment broken,parks,1,KMC,2023-04-23,4,2023
Tree needs pruning in TMC jurisdiction,parks,0,TMC,2024-04-08,4,2024
Poor road repair work on Gandhi Road in RMC jurisdiction,road,1,RMC,2024-05-29,5,2024
Water meter not working in GMC jurisdiction,water,0,GMC,2023-07-28,7,2023
Dead animal not removed in SMC jurisdiction,sanitation,2,SMC,2023-03-13,3,2023
Pipeline repair work incomplete in TMC jurisdiction,water,1,TMC,2023-01-22,1,2023
Public tap not working at Central Zone,water,0,TMC,2024-08-20,8,2024
Sanitation workers strike in GMC jurisdiction,sanitation,2,GMC,2024-04-14,4,2024
Recycling not being done in MMC jurisdiction,sanitation,0,MMC,2023-05-26,5,2023
Public tap not working at South Zone,water,0,CMC,2023-05-06,5,2023
Garbage truck leaking in KMC jurisdiction,sanitation,1,KMC,2024-11-11,11,2024
Poor road repair work on Hill Road in TMC jurisdiction,road,1,TMC,2023-01-01,1,2023
Illegal parking blocking Nehru Marg in KDMC jurisdiction,road,1,KDMC,2023-12-30,12,2023
Billboard lights causing glare in WMC jurisdiction,electricity,1,WMC,2024-02-07,2,2024
Drain cleaning overdue,sanitation,1,HMC,2023-03-28,3,2023
Construction waste on roadside,sanitation,1,JMC,2024-08-02,8,2024
Water meter not working in TMC jurisdiction,water,0,TMC,2023-07-25,7,2023
Speed breaker damaged on Nehru Marg in PMC jurisdiction,road,1,PMC,2024-04-30,4,2024
Drain cleaning overdue,sanitation,1,WMC,2024-09-23,9,2024
Street light sensor not working in PMC jurisdiction,electricity,0,PMC,2024-11-14,11,2024
Drainage system failure during rain,water,2,LMC,2023-06-01,6,2023
Street light timing incorrect in RMC jurisdiction,electricity,0,RMC,2024-04-14,4,2024
Electrical meter issue in KMC jurisdiction,electricity,0,KMC,2024-07-30,7,2024
Recycling not being done in TMC jurisdiction,sanitation,0,TMC,2024-11-12,11,2024
Water pipe burst at West Zone causing flooding in KDMC jurisdiction,water,2,KDMC,2023-03-16,3,2023
Drain blockage at South Zone in TMC jurisdiction,water,1,TMC,2024-04-05,4,2024
Tree needs pruning in HMC jurisdiction,parks,0,HMC,2023-08-01,8,2023
Transformer making noise at Ward 3 in WMC jurisdiction,electricity,1,WMC,2024-10-02,10,2024
Road markings faded on Church Street in HMC jurisdiction,road,0,HMC,2023-08-25,8,2023
Electrical meter issue in NMC jurisdiction,electricity,0,NMC,2024-01-02,1,2024
Public toilet in park dirty,parks,2,KDMC,2024-09-17,9,2024
Construction debris on Lake Side in SMC jurisdiction,road,1,SMC,2023-08-22,8,2023
Missing manhole cover on MG Road in CMC jurisdiction,road,2,CMC,2023-02-23,2,2023
Demolition debris not cleared in CMC jurisdiction,building,1,CMC,2023-03-01,3,2023
Road hump needs repainting on School Road in WMC jurisdiction,road,0,WMC,2024-11-03,11,2024
Stagnant water causing mosquito breeding,water,1,DMC,2023-08-14,8,2023
Water bill discrepancy for East Zone in UMC jurisdiction,water,1,UMC,2023-10-01,10,2023
Park lights not functioning,electricity,0,RMC,2024-09-28,9,2024
Waterlogging on Service Road during rain,road,2,HMC,2023-08-04,8,2023
Property tax assessment error in BMC jurisdiction,building,0,BMC,2024-01-29,1,2024
Property tax assessment error in WMC jurisdiction,building,0,WMC,2024-01-27,1,2024
Road hump needs repainting on Temple Street in AMC jurisdiction,road,0,AMC,2023-11-09,11,2023
Emergency lights not working,electricity,2,NMC,2024-07-01,7,2024
Property tax assessment error,building,0,TMC,2023-10-08,10,2023
Poor road repair work on Main Street in JMC jurisdiction,road,1,JMC,2024-01-06,1,2024
Low water pressure in Ward 4 in WMC jurisdiction,water,1,WMC,2024-11-07,11,2024
Exposed wires at Ward 2 in CMC jurisdiction,electricity,2,CMC,2023-03-23,3,2023
Park lights not functioning in KDMC jurisdiction,electricity,0,KDMC,2023-10-10,10,2023
Street light timing incorrect,electricity,0,AMC,2024-11-02,11,2024
Road hump needs repainting on College Road in HMC jurisdiction,road,0,HMC,2024-07-20,7,2024
Minor pothole on Hospital Lane in PMC jurisdiction,road,0,PMC,2024-06-07,6,2024
Speed breaker damaged on Lake Side,road,1,MMC,2023-05-27,5,2023
Speed breaker damaged on Park Avenue,road,1,VMC,2023-08-18,8,2023
Road markings faded on Park Avenue in MMC jurisdiction,road,0,MMC,2024-06-01,6,2024
Pipeline repair work incomplete,water,1,SMC,2023-08-24,8,2023
Stray animals in garbage in NMC jurisdiction,sanitation,1,NMC,2023-03-25,3,2023
Street light timing incorrect,electricity,0,DMC,2024-04-09,4,2024
Property tax assessment error in TMC jurisdiction,building,0,TMC,2024-04-09,4,2024
Water bill discrepancy for Ward 4 in CMC jurisdiction,water,1,CMC,2024-05-20,5,2024
Illegal electricity connection,electricity,2,CMC,2024-03-12,3,2024
Street light timing incorrect in NMC jurisdiction,electricity,0,NMC,2023-10-08,10,2023
Minor pothole on Nehru Marg in GMC jurisdiction,road,0,GMC,2023-05-25,5,2023
Street light not working at Ward 2,electricity,1,AMC,2024-07-06,7,2024
Construction debris on Gandhi Road in TMC jurisdiction,road,1,TMC,2024-08-07,8,2024
Drainage cover broken on road,road,1,KDMC,2023-12-01,12,2023
Road surface cracks on School Road,road,0,DMC,2024-05-23,5,2024
Road markings faded on Office Lane in MMC jurisdiction,road,0,MMC,2024-08-20,8,2024
Drain cleaning overdue in RMC jurisdiction,sanitation,1,RMC,2023-08-13,8,2023
Public toilet in park dirty,parks,2,NMC,2023-11-30,11,2023
Composting facility issue in DMC jurisdiction,sanitation,1,DMC,2023-01-30,1,2023
Drainage system failure during rain in MMC jurisdiction,water,2,MMC,2023-02-25,2,2023
Dumpster missing lid in BMC jurisdiction,sanitation,0,BMC,2023-08-15,8,2023
Public tap not working at Residential Colony,water,0,AMC,2023-08-23,8,2023
Minor pothole on Hospital Lane in HMC jurisdiction,road,0,HMC,2024-05-11,5,2024
Construction debris on Lake Side in NMC jurisdiction,road,1,NMC,2023-01-24,1,2023
Park lights not functioning in CMC jurisdiction,electricity,0,CMC,2024-03-15,3,2024
Building plans not approved,building,1,DMC,2024-06-30,6,2024
Water quality issues in Middle Class Colony,water,2,VMC,2024-04-08,4,2024
Construction quality issues in SMC jurisdiction,building,1,SMC,2024-07-30,7,2024
Drainage cover broken on road in DMC jurisdiction,road,1,DMC,2024-05-20,5,2024
Tap leaking at South Zone in KMC jurisdiction,water,0,KMC,2024-09-05,9,2024
Speed breaker damaged on Church Street in DMC jurisdiction,road,1,DMC,2023-03-21,3,2023
Recycling not being done in PMC jurisdiction,sanitation,0,PMC,2023-04-27,4,2023
Water meter not working in HMC jurisdiction,water,0,HMC,2024-07-14,7,2024
Construction safety violation in KMC jurisdiction,building,2,KMC,2024-04-30,4,2024
Tap leaking at North Zone,water,0,KDMC,2023-07-24,7,2023
Street light sensor not working in BMC jurisdiction,electricity,0,BMC,2023-06-10,6,2023
Garbage not collected for 2+ days,sanitation,2,RMC,2023-10-09,10,2023
Partial power failure in Commercial Complex in CMC jurisdiction,electricity,1,CMC,2023-08-10,8,2023
Public tap not working at Residential Colony in HMC jurisdiction,water,0,HMC,2024-08-29,8,2024
Construction safety violation,building,2,GMC,2024-07-27,7,2024
Public bins missing in PMC jurisdiction,sanitation,0,PMC,2023-07-02,7,2023
Grass not maintained,parks,0,RMC,2023-01-11,1,2023
Street light flickering at West Zone in GMC jurisdiction,electricity,0,GMC,2024-02-12,2,2024
Public toilet unclean at Ward 3 in AMC jurisdiction,sanitation,1,AMC,2023-05-03,5,2023
Dumpster missing lid,sanitation,0,PMC,2023-07-18,7,2023
Recycling not being done,sanitation,0,JMC,2024-08-23,8,2024
Water meter not working,water,0,VMC,2024-11-16,11,2024
Tree branch fallen on road at Ward 3 in KMC jurisdiction,road,2,KMC,2023-02-15,2,2023
Pothole developing on Service Road in AMC jurisdiction,road,1,AMC,2023-12-26,12,2023
Illegal electricity connection,electricity,2,KDMC,2023-04-01,4,2023
Public bins missing in RMC jurisdiction,sanitation,0,RMC,2023-09-10,9,2023
Road markings faded on Park Avenue in LMC jurisdiction,road,0,LMC,2024-08-15,8,2024
Garbage overflow at Commercial Complex in AMC jurisdiction,sanitation,1,AMC,2024-07-04,7,2024
Recycling not being done in HMC jurisdiction,sanitation,0,HMC,2024-04-23,4,2024
Exercise equipment broken in AMC jurisdiction,parks,1,AMC,2024-08-23,8,2024
Power cut during office hours,electricity,1,BMC,2024-10-06,10,2024
Garden not watered in DMC jurisdiction,parks,0,DMC,2023-04-13,4,2023
Tap leaking at Ward 1 in UMC jurisdiction,water,0,UMC,2024-09-23,9,2024
Water feature malfunction,parks,1,MMC,2024-08-14,8,2024
Street light timing incorrect in TMC jurisdiction,electricity,0,TMC,2023-06-26,6,2023
Public toilet unclean at Central Zone in DMC jurisdiction,sanitation,1,DMC,2024-07-17,7,2024
Sanitation workers strike,sanitation,2,VMC,2023-04-09,4,2023
Public tap not working at Residential Colony,water,0,TMC,2024-10-23,10,2024
Public tap not working at Slum Area in VMC jurisdiction,water,0,VMC,2024-03-07,3,2024
Major road collapse on Cross Street in TMC jurisdiction,road,2,TMC,2024-06-03,6,2024
Voltage fluctuations frequent,electricity,1,VMC,2023-11-07,11,2023
Dumpster missing lid,sanitation,0,LMC,2024-12-30,12,2024
Street light flickering at Ward 4,electricity,0,NMC,2024-04-16,4,2024
Road markings faded on Lake Side in NMC jurisdiction,road,0,NMC,2023-11-29,11,2023
Road hump needs repainting on Nehru Marg in BMC jurisdiction,road,0,BMC,2024-07-01,7,2024
Traffic signal not working at Ward 2 in HMC jurisdiction,road,2,HMC,2024-01-17,1,2024
Voltage fluctuations frequent in PMC jurisdiction,electricity,1,PMC,2023-03-22,3,2023
Littering in public park,sanitation,0,MMC,2024-08-07,8,2024
Water bill discrepancy for Affluent Society in AMC jurisdiction,water,1,AMC,2024-09-11,9,2024
Waterlogging on Temple Street during rain in DMC jurisdiction,road,2,DMC,2024-11-20,11,2024
Street light timing incorrect in CMC jurisdiction,electricity,0,CMC,2024-08-01,8,2024
Water quality issues in Affluent Society in PMC jurisdiction,water,2,PMC,2024-02-06,2,2024
Water treatment plant issue in NMC jurisdiction,water,2,NMC,2023-07-01,7,2023
Major road collapse on Church Street in LMC jurisdiction,road,2,LMC,2024-10-30,10,2024
Public tap not working at East Zone in TMC jurisdiction,water,0,TMC,2024-09-26,9,2024
Pothole developing on Cross Street in MMC jurisdiction,road,1,MMC,2023-06-20,6,2023
Sidewalk damaged on School Road,road,1,SMC,2023-07-24,7,2023
Building height violation,building,2,KDMC,2024-07-04,7,2024
Garbage overflow at Industrial Area in UMC jurisdiction,sanitation,1,UMC,2023-03-03,3,2023
Road markings faded on Market Road,road,0,MMC,2024-05-09,5,2024
Dumpster missing lid,sanitation,0,LMC,2024-12-17,12,2024
Recycling not being done in KMC jurisdiction,sanitation,0,KMC,2024-01-29,1,2024
Tree branch fallen on road at Ward 5 in CMC jurisdiction,road,2,CMC,2023-09-23,9,2023
Park lights not functioning in HMC jurisdiction,electricity,0,HMC,2024-01-24,1,2024
Park lights not functioning in BMC jurisdiction,electricity,0,BMC,2023-09-11,9,2023
Recycling not being done in SMC jurisdiction,sanitation,0,SMC,2024-04-12,4,2024
Road surface cracks on Nehru Marg in CMC jurisdiction,road,0,CMC,2024-08-18,8,2024
Bridge approach damaged near Ward 3 in BMC jurisdiction,road,2,BMC,2023-04-30,4,2023
Power theft suspected in Industrial Area,electricity,2,PMC,2023-07-19,7,2023
Unauthorized dumping ground,sanitation,2,TMC,2024-09-07,9,2024
Dumpster missing lid,sanitation,0,DMC,2023-11-03,11,2023
Street light sensor not working in UMC jurisdiction,electricity,0,UMC,2024-03-26,3,2024
Dumpster missing lid,sanitation,0,TMC,2024-06-05,6,2024
Road markings faded on Church Street,road,0,MMC,2024-03-29,3,2024
Bio-medical waste not disposed properly,sanitation,2,CMC,2023-08-07,8,2023
Water contamination reported in North Zone,water,2,DMC,2023-08-04,8,2023
Road surface cracks on Station Road in VMC jurisdiction,road,0,VMC,2023-06-10,6,2023
Voltage fluctuations frequent,electricity,1,WMC,2023-10-03,10,2023
Leaking pipeline near Affluent Society in CMC jurisdiction,water,1,CMC,2023-10-08,10,2023
Park security issue in GMC jurisdiction,parks,1,GMC,2023-03-02,3,2023
Flower beds neglected in MMC jurisdiction,parks,0,MMC,2023-06-04,6,2023
Drain cleaning overdue,sanitation,1,RMC,2023-08-08,8,2023
High mast light not working in JMC jurisdiction,electricity,1,JMC,2024-12-21,12,2024
Water meter not working in JMC jurisdiction,water,0,JMC,2023-08-17,8,2023
Stray animals in garbage,sanitation,1,CMC,2024-08-13,8,2024
Minor pothole on Cross Street,road,0,RMC,2023-08-24,8,2023
Road surface cracks on Gandhi Road,road,0,GMC,2023-01-28,1,2023
Play equipment damaged in VMC jurisdiction,parks,1,VMC,2023-08-02,8,2023
Borewell not functioning in CMC jurisdiction,water,1,CMC,2023-05-08,5,2023
Low water pressure in Ward 5,water,1,JMC,2023-07-01,7,2023
Littering in public park in PMC jurisdiction,sanitation,0,PMC,2023-08-17,8,2023
Property tax assessment error,building,0,DMC,2024-07-03,7,2024
Public toilet in park dirty in TMC jurisdiction,parks,2,TMC,2023-09-21,9,2023
Construction waste on roadside in WMC jurisdiction,sanitation,1,WMC,2024-08-07,8,2024
Road surface cracks on Park Avenue,road,0,KMC,2024-02-18,2,2024
Street light timing incorrect,electricity,0,GMC,2023-11-05,11,2023
Sidewalk damaged on River View in SMC jurisdiction,road,1,SMC,2024-08-08,8,2024
Tree needs pruning in CMC jurisdiction,parks,0,CMC,2023-08-08,8,2023
Stagnant water causing mosquito breeding in GMC jurisdiction,water,1,GMC,2023-07-10,7,2023
Public bins missing in RMC jurisdiction,sanitation,0,RMC,2024-07-10,7,2024
Drain blockage at Residential Colony,water,1,KDMC,2024-06-07,6,2024
Garbage overflow at Middle Class Colony in HMC jurisdiction,sanitation,1,HMC,2023-08-24,8,2023
Illegal electricity connection,electricity,2,KMC,2024-09-16,9,2024
Street light flickering at Ward 3 in NMC jurisdiction,electricity,0,NMC,2024-07-23,7,2024
Speed breaker damaged on Main Street,road,1,WMC,2023-05-24,5,2023
Garbage burning in open,sanitation,2,SMC,2024-10-23,10,2024
Street light flickering at East Zone,electricity,0,RMC,2023-10-10,10,2023
Drain blockage at Ward 7 in CMC jurisdiction,water,1,CMC,2024-11-19,11,2024
Walking track damaged in DMC jurisdiction,parks,1,DMC,2023-04-16,4,2023
Road surface cracks on College Road in DMC jurisdiction,road,0,DMC,2024-08-28,8,2024
Water supply contaminated with sewage in DMC jurisdiction,water,2,DMC,2024-08-02,8,2024
Voltage fluctuations frequent in VMC jurisdiction,electricity,1,VMC,2023-01-27,1,2023
Dumpster missing lid,sanitation,0,RMC,2023-09-12,9,2023
Recycling not being done in GMC jurisdiction,sanitation,0,GMC,2024-07-14,7,2024
Sanitation workers strike,sanitation,2,AMC,2023-12-08,12,2023
Roadside vegetation obstructing view in WMC jurisdiction,road,1,WMC,2024-01-27,1,2024
Borewell not functioning in AMC jurisdiction,water,1,AMC,2023-03-19,3,2023
Illegal parking blocking Market Road,road,1,VMC,2024-06-29,6,2024
High mast light not working in UMC jurisdiction,electricity,1,UMC,2024-06-15,6,2024
Drain blockage at Ward 1 in KDMC jurisdiction,water,1,KDMC,2024-07-26,7,2024
No water supply for 24+ hours in HMC jurisdiction,water,2,HMC,2024-09-12,9,2024
Transformer making noise at Ward 1,electricity,1,PMC,2024-06-25,6,2024
Public tap not working at Central Zone,water,0,CMC,2023-06-26,6,2023
Transformer making noise at Affluent Society in LMC jurisdiction,electricity,1,LMC,2024-03-31,3,2024
Illegal parking blocking Service Road in PMC jurisdiction,road,1,PMC,2024-11-30,11,2024
Road surface cracks on School Road in KMC jurisdiction,road,0,KMC,2024-02-18,2,2024
Road damage after rains on Hospital Lane in DMC jurisdiction,road,2,DMC,2024-11-01,11,2024
Voltage fluctuations frequent,electricity,1,UMC,2024-10-20,10,2024
Water bill discrepancy for Market Area in CMC jurisdiction,water,1,CMC,2024-01-22,1,2024
Garbage not collected for 2+ days in BMC jurisdiction,sanitation,2,BMC,2023-04-02,4,2023
Bridge approach damaged near Ward 3,road,2,SMC,2024-05-22,5,2024
Street light not working at Industrial Area in VMC jurisdiction,electricity,1,VMC,2024-12-07,12,2024
Littering in public park in DMC jurisdiction,sanitation,0,DMC,2023-12-02,12,2023
Overflowing water tank at Ward 3 in VMC jurisdiction,water,2,VMC,2024-05-24,5,2024
Street light flickering at Ward 4 in DMC jurisdiction,electricity,0,DMC,2024-02-02,2,2024
Speed breaker damaged on Nehru Marg in NMC jurisdiction,road,1,NMC,2023-07-19,7,2023
Littering in public park,sanitation,0,LMC,2024-09-08,9,2024
Roadside vegetation obstructing view,road,1,TMC,2024-10-22,10,2024
Drain cleaning overdue in KMC jurisdiction,sanitation,1,KMC,2024-01-04,1,2024
Public tap not working at Middle Class Colony,water,0,MMC,2024-02-16,2,2024
Stagnant water causing mosquito breeding in RMC jurisdiction,water,1,RMC,2024-02-13,2,2024
Stagnant water causing mosquito breeding in MMC jurisdiction,water,1,MMC,2023-08-07,8,2023
Billboard lights causing glare,electricity,1,LMC,2024-09-30,9,2024
Road hump needs repainting on Hospital Lane in AMC jurisdiction,road,0,AMC,2024-03-29,3,2024
Illegal parking blocking College Road,road,1,AMC,2024-10-18,10,2024
Street light not working at Ward 4,electricity,1,WMC,2023-03-29,3,2023
Public toilet in park dirty in JMC jurisdiction,parks,2,JMC,2024-01-01,1,2024
Water meter not working in AMC jurisdiction,water,0,AMC,2024-07-29,7,2024
Park closing early,parks,0,PMC,2024-02-24,2,2024
Grass not maintained,parks,0,BMC,2024-04-29,4,2024
Road hump needs repainting on Market Road in NMC jurisdiction,road,0,NMC,2024-11-15,11,2024
Dumpster missing lid in KDMC jurisdiction,sanitation,0,KDMC,2024-05-21,5,2024
Public event damage not repaired,parks,1,AMC,2023-07-16,7,2023
Fire safety violation in TMC jurisdiction,building,2,TMC,2023-06-20,6,2023
Pothole developing on College Road in KMC jurisdiction,road,1,KMC,2024-01-25,1,2024
Public toilet unclean at Central Zone,sanitation,1,JMC,2024-07-19,7,2024
Flower beds neglected,parks,0,KMC,2023-09-06,9,2023
Irregular water supply timing in WMC jurisdiction,water,1,WMC,2023-05-23,5,2023
Littering in public park in KDMC jurisdiction,sanitation,0,KDMC,2024-12-03,12,2024
Street light sensor not working,electricity,0,NMC,2023-03-04,3,2023
Electrical meter issue in CMC jurisdiction,electricity,0,CMC,2024-07-09,7,2024
Road surface cracks on Station Road,road,0,KDMC,2023-08-22,8,2023
Composting facility issue in WMC jurisdiction,sanitation,1,WMC,2023-10-20,10,2023
Public tap not working at Ward 1 in SMC jurisdiction,water,0,SMC,2024-11-30,11,2024
Littering in public park,sanitation,0,LMC,2024-11-21,11,2024
Water quality issues in Residential Colony,water,2,KMC,2024-10-09,10,2024
Drain blockage at Commercial Complex,water,1,AMC,2023-08-11,8,2023
Tap leaking at Ward 1 in JMC jurisdiction,water,0,JMC,2023-06-12,6,2023
Building completion certificate issue in SMC jurisdiction,building,1,SMC,2024-05-26,5,2024
Sewage smell in Affluent Society,sanitation,1,KMC,2023-08-10,8,2023
Power cut during office hours,electricity,1,JMC,2023-05-12,5,2023
Sanitation workers strike,sanitation,2,JMC,2024-07-22,7,2024
Sewage backup in South Zone in VMC jurisdiction,water,2,VMC,2024-05-17,5,2024
Water meter not working in BMC jurisdiction,water,0,BMC,2024-10-10,10,2024
Partial power failure in North Zone,electricity,1,CMC,2023-07-19,7,2023
Park lights not functioning,electricity,0,VMC,2023-01-12,1,2023
Road hump needs repainting on Park Avenue in TMC jurisdiction,road,0,TMC,2023-06-01,6,2023
Water meter not working in LMC jurisdiction,water,0,LMC,2023-10-08,10,2023
Sidewalk damaged on College Road in NMC jurisdiction,road,1,NMC,2023-01-18,1,2023
Water supply contaminated with sewage in BMC jurisdiction,water,2,BMC,2024-12-31,12,2024
Minor pothole on Hospital Lane in KMC jurisdiction,road,0,KMC,2024-12-31,12,2024
Transformer making noise at Middle Class Colony,electricity,1,VMC,2023-08-01,8,2023
Large dangerous pothole on Lake Side causing accidents in DMC jurisdiction,road,2,DMC,2023-02-11,2,2023
Dumpster missing lid,sanitation,0,CMC,2024-02-07,2,2024
Public tap not working at Affluent Society,water,0,WMC,2023-07-29,7,2023
Power fluctuations damaging appliances in GMC jurisdiction,electricity,2,GMC,2023-11-14,11,2023
Electrical maintenance overdue in AMC jurisdiction,electricity,1,AMC,2024-09-03,9,2024
Public toilet in park dirty in AMC jurisdiction,parks,2,AMC,2023-08-29,8,2023
Walking track damaged in GMC jurisdiction,parks,1,GMC,2024-07-30,7,2024
Public bins missing in KDMC jurisdiction,sanitation,0,KDMC,2023-01-31,1,2023
Low water pressure in Commercial Complex,water,1,AMC,2024-11-03,11,2024
Public bins missing in NMC jurisdiction,sanitation,0,NMC,2023-10-01,10,2023
Water treatment plant issue,water,2,SMC,2024-10-27,10,2024
Power theft suspected in Slum Area,electricity,2,UMC,2023-02-18,2,2023
Park lights not functioning in RMC jurisdiction,electricity,0,RMC,2024-02-16,2,2024
Fire safety violation in KMC jurisdiction,building,2,KMC,2024-02-22,2,2024
Stagnant water causing mosquito breeding,water,1,KMC,2024-10-22,10,2024
Garbage not collected for 2+ days in AMC jurisdiction,sanitation,2,AMC,2024-10-02,10,2024
Drain blockage at Ward 7,water,1,AMC,2024-02-10,2,2024
Public tap not working at Ward 2 in HMC jurisdiction,water,0,HMC,2024-08-12,8,2024
Irregular water supply timing in MMC jurisdiction,water,1,MMC,2024-10-21,10,2024
Street light flickering at Ward 1 in CMC jurisdiction,electricity,0,CMC,2023-05-04,5,2023
Garbage truck leaking in KDMC jurisdiction,sanitation,1,KDMC,2023-05-02,5,2023
Water bill discrepancy for South Zone in WMC jurisdiction,water,1,WMC,2023-08-02,8,2023
Minor pothole on School Road in DMC jurisdiction,road,0,DMC,2023-04-05,4,2023
Drain cleaning overdue in PMC jurisdiction,sanitation,1,PMC,2023-12-12,12,2023
Property tax assessment error in NMC jurisdiction,building,0,NMC,2024-02-25,2,2024
Drain cleaning overdue in TMC jurisdiction,sanitation,1,TMC,2023-07-05,7,2023
Pothole developing on Service Road in AMC jurisdiction,road,1,AMC,2024-03-12,3,2024
Garbage not collected for 2+ days in VMC jurisdiction,sanitation,2,VMC,2023-08-17,8,2023
Sanitation workers strike,sanitation,2,SMC,2023-04-29,4,2023
Bio-medical waste not disposed properly in RMC jurisdiction,sanitation,2,RMC,2023-02-04,2,2023
Partial power failure in West Zone,electricity,1,KDMC,2024-11-11,11,2024
Water contamination reported in Ward 1 in KMC jurisdiction,water,2,KMC,2024-08-07,8,2024
Garbage overflow at East Zone in PMC jurisdiction,sanitation,1,PMC,2023-11-04,11,2023
Littering in public park in BMC jurisdiction,sanitation,0,BMC,2024-11-12,11,2024
Power fluctuations damaging appliances in KDMC jurisdiction,electricity,2,KDMC,2024-06-06,6,2024
Water meter not working in GMC jurisdiction,water,0,GMC,2024-03-18,3,2024
Missing manhole cover on Station Road in DMC jurisdiction,road,2,DMC,2024-06-17,6,2024
Medical waste in regular garbage in BMC jurisdiction,sanitation,2,BMC,2023-10-15,10,2023
Water supply contaminated with sewage,water,2,CMC,2024-09-11,9,2024
Electrical meter issue,electricity,0,GMC,2024-08-31,8,2024
Park security issue,parks,1,CMC,2023-12-12,12,2023
Emergency lights not working in CMC jurisdiction,electricity,2,CMC,2024-08-04,8,2024
Water contamination reported in Slum Area in DMC jurisdiction,water,2,DMC,2023-11-17,11,2023
Pothole developing on Park Avenue in BMC jurisdiction,road,1,BMC,2024-07-15,7,2024
Road surface cracks on Main Street,road,0,MMC,2024-08-03,8,2024
Tree branch fallen on road at Market Area in GMC jurisdiction,road,2,GMC,2023-08-14,8,2023
Electrical meter issue,electricity,0,UMC,2023-06-05,6,2023
Emergency lights not working,electricity,2,AMC,2024-01-28,1,2024
High mast light not working in CMC jurisdiction,electricity,1,CMC,2023-03-25,3,2023
Public tap not working at Residential Colony in VMC jurisdiction,water,0,VMC,2023-10-06,10,2023
Sewage smell in Ward 7 in VMC jurisdiction,sanitation,1,VMC,2024-02-19,2,2024
Pothole developing on River View in LMC jurisdiction,road,1,LMC,2024-01-04,1,2024
Partial power failure in Market Area in MMC jurisdiction,electricity,1,MMC,2023-08-23,8,2023
Grass not maintained in AMC jurisdiction,parks,0,AMC,2024-08-22,8,2024
Exposed wires at Central Zone in BMC jurisdiction,electricity,2,BMC,2023-08-23,8,2023
Broken park bench at Rose Garden in UMC jurisdiction,parks,0,UMC,2023-09-19,9,2023
Sewage backup in East Zone in GMC jurisdiction,water,2,GMC,2023-06-20,6,2023
Road markings faded on Station Road in LMC jurisdiction,road,0,LMC,2023-07-11,7,2023
Large dangerous pothole on Hospital Lane causing accidents in GMC jurisdiction,road,2,GMC,2023-02-28,2,2023
Illegal electricity connection,electricity,2,UMC,2024-06-21,6,2024
Power fluctuations damaging appliances in LMC jurisdiction,electricity,2,LMC,2023-02-22,2,2023
Public toilet in park dirty in KDMC jurisdiction,parks,2,KDMC,2024-06-08,6,2024
Tree branch fallen on road at Ward 2 in KMC jurisdiction,road,2,KMC,2023-08-12,8,2023
Pipeline repair work incomplete in JMC jurisdiction,water,1,JMC,2023-12-01,12,2023
Road damage after rains on Market Road,road,2,CMC,2024-01-22,1,2024
Public toilet unclean at Ward 5,sanitation,1,GMC,2023-07-21,7,2023
Low water pressure in North Zone in BMC jurisdiction,water,1,BMC,2023-05-17,5,2023
Large dangerous pothole on Link Road causing accidents,road,2,AMC,2023-03-09,3,2023
Unauthorized dumping ground,sanitation,2,CMC,2023-09-09,9,2023
Illegal parking blocking School Road,road,1,JMC,2024-02-19,2,2024
Water meter not working,water,0,WMC,2024-11-09,11,2024
Drainage system failure during rain,water,2,MMC,2023-06-07,6,2023
Power fluctuations damaging appliances in CMC jurisdiction,electricity,2,CMC,2023-08-29,8,2023
Garbage overflow at Ward 1 in KMC jurisdiction,sanitation,1,KMC,2023-02-03,2,2023
Road damage after rains on School Road in HMC jurisdiction,road,2,HMC,2024-12-06,12,2024
Sewage smell in Industrial Area in CMC jurisdiction,sanitation,1,CMC,2023-06-08,6,2023
Road damage after rains on Garden Street in KMC jurisdiction,road,2,KMC,2023-03-17,3,2023
Illegal construction at Ward 6,building,2,AMC,2024-03-01,3,2024
Grass not maintained in BMC jurisdiction,parks,0,BMC,2024-09-10,9,2024
Property tax assessment error in KMC jurisdiction,building,0,KMC,2024-06-01,6,2024
Drain cleaning overdue in UMC jurisdiction,sanitation,1,UMC,2023-12-07,12,2023
